pb_acc,len,orf_strand,orf_frame,orf_start,orf_end,orf_len,fickett,hexamer,coding_score,orf_rank,cds_start,gencode_atg,upstream_atgs,orf_calling_confidence,atg_rank,score_rank,atg_score,gencode_score,orf_score,gene,FL,CPM
PB.1091.20,1202,+,2,20,973,954,1.2293,0.45404902225084404,0.999942958863354,1,156318942,,1,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999994295886336,CCT3,16,5.355363513707555
PB.1091.21,1883,+,1,40,1020,981,1.244,0.42346893294265003,0.9999499038699872,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.99999989980774,CCT3,2,0.6694204392134444
PB.1091.22,2344,+,2,83,337,255,0.9316,0.0745560809394368,0.19149738905019,2,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Low Quality ORF,1.0,2.0,0.99,0.8,0.9983829947781004,CCT3,2,0.6694204392134444
PB.1091.23,1284,+,2,98,604,507,1.1546,0.14626407072049302,0.9334543314869572,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.999866908662974,CCT3,11,3.681812415673944
PB.1091.24,3531,+,2,128,382,255,0.9316,0.0745560809394368,0.18162233702166106,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9983632446740434,CCT3,2,0.6694204392134444
PB.1091.25,3263,+,1,133,387,255,0.9316,0.0745560809394368,0.183816732739988,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.99836763346548,CCT3,2,0.6694204392134444
PB.1091.26,927,+,2,62,220,159,0.7577,-0.004302413492720571,0.0288984809442761,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9980577969618886,CCT3,2,0.6694204392134444
PB.1091.27,1925,+,1,34,288,255,0.9316,0.0745560809394368,0.195079644204652,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9983901592884094,CCT3,4,1.3388408784268888
PB.1091.28,1323,+,2,74,328,255,0.9316,0.0745560809394368,0.200314963677725,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9984006299273556,CCT3,12,4.016522635280666
PB.1091.3,2509,+,1,10,60,51,1.0677,0.0475218728613207,0.0314755554819299,15,156313827,,0,Low Quality ORF,1.0,4.0,0.99,0.0,0.9903147555548192,CCT3,13,4.351232854887388
PB.1091.4,2134,+,3,267,1904,1638,1.2322,0.4171246397673479,0.999999964685539,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",2,None,2.0,1.0,0.5,0.8,0.999999996468554,CCT3,2540,850.1639578010744
PB.1091.5,1793,+,1,40,1563,1524,1.2504,0.415839571943258,0.9999998825437859,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999997650876,CCT3,11,3.681812415673944
PB.1091.6,1677,+,2,119,1447,1329,1.1721,0.41795371819296,0.9999986626943879,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999973253888,CCT3,2,0.6694204392134444
PB.1091.7,1086,+,2,26,856,831,1.2388,0.430797150589656,0.999749947426245,1,156317499,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999974994742624,CCT3,26,8.702465709774776
PB.1091.8,634,+,3,12,404,393,1.165,0.377452316380383,0.9447993363390972,1,156311105,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.999447993363391,CCT3,3,1.0041306588201666
PB.1091.9,4189,+,1,2458,3960,1503,1.2096,0.425752119320354,0.999999816378263,1,156334876,['ENST00000472765.6'],35,None,11.0,1.0,0.028571428571428567,0.8,0.9999999643249196,CCT3,14,4.68594307449411
PB.11746.1,2604,+,1,166,1983,1818,1.2541,0.4630960083856671,0.999999996606722,1,72230987,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999999660673,PKM,3,1.0041306588201666
PB.11746.10,2303,+,2,89,931,843,1.2772,0.5283761986004389,0.999886729815356,2,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999997734596308,PKM,6056,2027.0050899383095
PB.11746.11,2522,+,3,204,1904,1701,1.3009,0.489781583469239,0.999999990947764,1,72230987,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999999094776,PKM,26,8.702465709774776
PB.11746.12,2480,+,1,100,1551,1452,1.2089,0.447478030684677,0.99999974009299,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999994801859,PKM,3,1.0041306588201666
PB.11746.13,2432,+,3,219,1814,1596,1.2557,0.515268574264829,0.9999999708064572,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",1,None,2.0,1.0,0.99,0.8,0.9999999999416128,PKM,7,2.342971537247055
PB.11746.14,2325,+,1,97,1707,1611,1.2827,0.5143015239188811,0.999999977510284,1,72229548,,1,None,2.0,1.0,0.99,0.0,0.9999999997751028,PKM,5,1.673551098033611
PB.11746.15,2264,+,3,51,1646,1596,1.2557,0.515268574264829,0.999999971074143,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999999421484,PKM,26,8.702465709774776
PB.11746.16,2236,+,2,89,1618,1530,1.2359,0.508908332744032,0.9999999327480459,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.999999999865496,PKM,3,1.0041306588201666
PB.11746.17,2175,+,1,25,1557,1533,1.2827,0.518307738704921,0.999999947899622,1,72219034,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999994789962,PKM,33,11.045437247021832
PB.11746.18,2135,+,2,89,1372,1284,1.2089,0.4706326960536121,0.9999985483588508,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999970967176,PKM,5,1.673551098033611
PB.11746.19,2026,+,2,89,1684,1596,1.2557,0.515268574264829,0.9999999714491681,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999999428985,PKM,2,0.6694204392134444
PB.11746.2,3264,+,1,130,249,120,0.9653,-0.13182427885828,0.0157147969877911,11,72202883,,0,Low Quality ORF,1.0,11.0,0.99,0.0,0.990157147969878,PKM,28,9.37188614898822
PB.11746.20,1993,+,2,224,1375,1152,1.2932,0.518924010615434,0.999996481422275,1,72209793,,4,None,2.0,1.0,0.25,0.0,0.9999973610667064,PKM,30,10.041306588201666
PB.11746.21,1991,+,3,111,1373,1263,1.2617,0.4839571534297861,0.9999985994343692,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999971988688,PKM,2,0.6694204392134444
PB.11746.22,1885,+,2,116,1267,1152,1.2932,0.518924010615434,0.999996502196866,1,72209793,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999650219686,PKM,21,7.028914611741166
PB.11746.23,1885,+,2,122,1717,1596,1.2557,0.515268574264829,0.99999997166905,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.999999999943338,PKM,2,0.6694204392134444
PB.11746.24,1822,+,2,89,1204,1116,1.2617,0.486382977248623,0.9999929184535692,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999858369072,PKM,3,1.0041306588201666
PB.11746.25,1807,+,2,38,1189,1152,1.2932,0.518924010615434,0.999996517124413,1,72209793,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.999999965171244,PKM,67,22.425584713650384
PB.11746.26,1663,+,3,111,920,810,1.2629,0.488273042929556,0.999788032132468,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999995760642648,PKM,2,0.6694204392134444
PB.11746.27,1595,+,3,96,977,882,1.2495,0.4725566544396641,0.9998912719109979,1,72208742,,1,None,2.0,1.0,0.99,0.0,0.9999989127191099,PKM,88,29.454499325391552
PB.11746.28,1562,+,1,100,819,720,1.2811,0.514855552965327,0.9995389518582399,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999990779037164,PKM,2,0.6694204392134444
PB.11746.29,1380,+,1,37,762,726,1.2559,0.467780538524302,0.9993805879746841,1,72207243,,2,None,2.0,1.0,0.5,0.0,0.999690293987342,PKM,75,25.103266470504163
PB.11746.3,1753,+,1,109,987,879,1.2035,0.49278364900227706,0.9998824463357192,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999997648926714,PKM,2,0.6694204392134444
PB.11746.30,1363,+,3,171,290,120,1.1687,-0.0428051177819937,0.0577726255145889,6,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Low Quality ORF,1.0,3.0,0.99,0.8,0.9981155452510292,PKM,3,1.0041306588201666
PB.11746.31,1176,+,1,40,558,519,1.2715,0.4644002729537861,0.994028047664938,1,72206790,,3,None,2.0,1.0,0.3333333333333333,0.0,0.9960186984432919,PKM,21,7.028914611741166
PB.11746.32,1185,+,2,89,1150,1062,1.2344,0.4494040156321789,0.999982794949711,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999655898996,PKM,2,0.6694204392134444
PB.11746.33,1065,+,1,331,447,117,1.0684,0.366858671102824,0.338776011677299,5,72200483,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.993387760116773,PKM,29,9.706596368594944
PB.11746.34,501,+,2,35,166,132,0.5051,0.11449977288827401,0.0190176782356991,3,72199498,,0,Low Quality ORF,1.0,3.0,0.99,0.0,0.9901901767823571,PKM,3,1.0041306588201666
PB.11746.35,2475,+,2,263,1858,1596,1.2557,0.515268574264829,0.9999999707375452,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",1,None,2.0,1.0,0.99,0.8,0.9999999999414749,PKM,2,0.6694204392134444
PB.11746.36,2209,+,1,85,1137,1053,1.2167,0.48388297720250895,0.9999826459236101,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999652918472,PKM,2,0.6694204392134444
PB.11746.37,3559,+,2,89,601,513,1.0778,0.319696921198107,0.966788549280283,2,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Nonsense Mediated Decay,1.0,2.0,0.99,0.8,0.9999335770985606,PKM,2,0.6694204392134444
PB.11746.38,2814,+,2,89,1558,1470,1.2754,0.4209212017011121,0.999999797816777,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999995956336,PKM,23,7.69833505095461
PB.11746.39,1375,+,3,339,446,108,0.4581,-0.172247814355283,0.00210423674596981,1,72206178,,1,Low Quality ORF,1.0,3.0,0.99,0.0,0.9900210423674596,PKM,2,0.6694204392134444
PB.11746.4,3643,+,2,50,373,324,1.1595,0.442552760852826,0.90713454339113,4,72206880,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9990713454339112,PKM,2,0.6694204392134444
PB.11746.40,4448,+,2,161,673,513,1.0778,0.319696921198107,0.965187305647902,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Nonsense Mediated Decay,1.0,2.0,0.99,0.8,0.999930374611296,PKM,2,0.6694204392134444
PB.11746.41,3643,+,2,89,1012,924,1.2035,0.486968949511479,0.9999183537834839,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.999999836707567,PKM,5,1.673551098033611
PB.11746.42,3055,+,3,111,623,513,1.0778,0.319696921198107,0.9676645097884492,2,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Nonsense Mediated Decay,1.0,2.0,0.99,0.8,0.9999353290195768,PKM,3,1.0041306588201666
PB.11746.43,2787,+,3,1020,2045,1026,1.2027,0.384078447985135,0.9999534063866568,1,72209793,,18,None,6.0,1.0,0.05555555555555555,0.0,0.9999559949207314,PKM,38,12.718988345055443
PB.11746.44,2538,+,3,327,1796,1470,1.2754,0.4209212017011121,0.999999800853467,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",1,None,2.0,1.0,0.99,0.8,0.9999999996017068,PKM,3,1.0041306588201666
PB.11746.45,2417,+,2,206,1675,1470,1.2754,0.4209212017011121,0.999999802170348,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",1,None,2.0,1.0,0.99,0.8,0.9999999996043408,PKM,2,0.6694204392134444
PB.11746.46,2300,+,2,89,1558,1470,1.2754,0.4209212017011121,0.9999998034354142,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999996068708,PKM,125,41.838777450840276
PB.11746.47,4128,+,2,89,601,513,1.0778,0.319696921198107,0.9657720770576159,2,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Nonsense Mediated Decay,1.0,3.0,0.99,0.8,0.9999315441541152,PKM,3,1.0041306588201666
PB.11746.48,2555,+,1,100,1314,1215,1.261,0.39666148504125603,0.999995792113211,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999915842264,PKM,8,2.6776817568537776
PB.11746.49,2016,+,2,5,775,771,1.2032,0.333560637061542,0.9989506663388692,1,72209793,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999895066633888,PKM,2,0.6694204392134444
PB.11746.5,2277,+,3,252,1658,1407,1.2827,0.51930638103212,0.999999786770395,1,72217465,,3,None,2.0,1.0,0.3333333333333333,0.0,0.99999985784693,PKM,2,0.6694204392134444
PB.11746.6,4668,+,2,89,1399,1311,1.2035,0.507396903244884,0.999998994956159,1,72219097,"['ENST00000335181.10', 'ENST00000319622.10', 'ENST00000389093.7', 'ENST00000565184.5', 'ENST00000568883.5', 'ENST00000567118.5', 'ENST00000565154.5', 'ENST00000568459.5', 'ENST00000561609.5', 'ENST00000569857.5', 'ENST00000564178.5', 'ENST00000562997.5', 'ENST00000567087.5', 'ENST00000566809.1', 'ENST00000569050.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999979899123,PKM,29,9.706596368594944
